Date,ZMK,ZAR,GBP,ZWL
2025-05-12,26.3,18.2305,1.32795,67089.74528032
2025-05-09,26.525,18.2544,1.3224,67066.00740042
2025-05-08,26.725,18.24935,1.3314,67050.01556554
2025-05-07,27.0,18.23025,1.33535,67042.51939294
2025-05-06,27.675,18.2603,1.32965,67033.77385824
2025-05-05,27.755,18.386,1.32955,67017.78202335999
2025-05-02,28.1575,18.45685,1.3316,67014.03393706
2025-04-30,27.975,18.53415,1.33925,67005.28840236
2025-04-29,27.925,18.5521,1.34,66994.5438883
2025-04-28,27.925,18.6765,1.3326,66989.5464399
2025-04-25,28.025,18.8485,1.32895,66975.30371196
2025-04-24,28.225,18.63855,1.3274,67038.02168938001
2025-04-23,28.525,18.56755,1.33115,67016.78253368
2025-04-22,28.475,18.6559,1.34135,66988.04720538
2025-04-17,28.535,18.86775,1.3216,66964.30932548
2025-04-16,28.36,19.0149,1.32625,66951.06608722001
2025-04-15,28.3102,18.8284,1.3219,67014.78355432
2025-04-14,28.235,19.0414,1.31075,67010.53572318
2025-04-11,28.195,19.37255,1.3013,66991.54541926
2025-04-10,28.075,19.30345,1.28665,66978.55205342
2025-04-09,28.075,19.77865,1.28345,66969.5566463
2025-04-08,27.9354,19.50465,1.2772,66962.06047370001
2025-04-07,27.825,19.1931,1.2913,66941.32106284
2025-04-04,27.775,18.83045,1.30915,66931.82591088
2025-04-03,28.067,18.91155,1.30875,66912.0859897
2025-04-02,28.251,18.53215,1.29155,66900.34198596001
2025-04-01,28.125,18.33245,1.29245,66895.8442824
2025-03-31,28.4,18.2834,1.29605,66879.35270268
2025-03-28,28.725,18.2832,1.2939,66830.62758078
2025-03-27,29.0965,18.2085,1.2922,66818.88357704
2025-03-26,29.0725,18.2898,1.2932,66792.64697294
2025-03-25,29.047,18.22945,1.29275,66785.65054518
2025-03-24,28.85255,18.22065,1.2918,66765.910624
2025-03-21,28.9545,18.2018,1.29275,66733.17733698
2025-03-20,28.9075,18.1199,1.29945,66714.18703306
2025-03-19,28.74,18.13795,1.2986,66703.69239142
2025-03-18,28.7955,18.0989,1.29775,66669.20999746
2025-03-17,28.625,18.21235,1.29315,66653.21816258
2025-03-14,28.61,18.3135,1.2942,66639.72505190001
2025-03-13,28.5425,18.3594,1.29545,66624.48283428
2025-03-12,28.5425,18.27565,1.2924,66641.97390368
2025-03-11,28.55,18.3081,1.28845,66596.24725082
2025-03-10,28.525,18.34355,1.29085,66587.50171612
2025-03-07,28.81195,18.13445,1.28845,66569.01115704
2025-03-06,28.675,18.29185,1.28995,66555.51804636
2025-03-05,28.6674,18.47755,1.27925,66474.05963744
2025-03-04,28.625,18.62955,1.26925,66456.81844046
2025-03-03,28.5398,18.63405,1.2605,66423.5854086
2025-02-28,28.475,18.49085,1.25855,66369.8628383
2025-02-27,28.38175,18.4664,1.26535,66346.87457566
2025-02-26,28.3406,18.4238,1.26385,66219.18976904001
2025-02-25,28.29725,18.36075,1.2636,66177.21120248
2025-02-24,28.175,18.326,1.26755,66185.95673718001
2025-02-20,28.28,18.50805,1.2596,66126.73697364001
2025-02-19,28.32,18.4134,1.26155,66106.49730762
2025-02-18,28.205,18.451,1.25945,66093.25406936
2025-02-17,28.175,18.32545,1.2595,66072.76453092
2025-02-14,28.025,18.48525,1.2552,66057.5223133
2025-02-13,28.199,18.46725,1.2494,66046.02818198
2025-02-12,27.975,18.5289,1.24435,66018.7920882
2025-02-11,28.125,18.453,1.2361,66013.04502254001
2025-02-10,28.2185,18.4979,1.2408,65997.80280492001
2025-02-07,28.252,18.44705,1.2426,65984.30969424
2025-02-06,28.025,18.56525,1.2487,65970.56671114001
2025-02-05,28.025,18.6962,1.24665,65943.33061736
2025-02-04,28.0813,18.82375,1.23865,65940.0822759
2025-02-03,28.025,18.97665,1.22685,65919.59273746
2025-01-31,27.975,18.557,1.24205,65880.36276752001
2025-01-30,28.051,18.54765,1.24425,65841.88241484
2025-01-29,27.875,18.65485,1.24535,65831.63764562001
2025-01-28,27.8796,18.8434,1.24465,65812.89721412
2025-01-27,27.775,18.54765,1.24465,65769.41941304
2025-01-24,27.825,18.415,1.23885,65717.44594968
2025-01-23,27.975,18.5156,1.23145,65692.20883526
2025-01-22,28.056,18.51195,1.23345,65645.48269272
2025-01-21,27.8702,18.6044,1.2286,65711.94875644
2025-01-20,27.825,18.6988,1.22065,65674.21802102
